timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601549361314,3,комментарий,200,,sendComment 1-1,text,true,,274,686,1,1,"http://localhost:8080/service/guestbook?user=Спутник&text=Рекомендую,%20это%20лучшая%20компания%20на%20свете",3,0,0
1601549361318,4,комментарий,200,,sendComment 1-1,text,true,,3220,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549361322,1,Debug Sampler,200,OK,sendComment 1-1,text,true,,480,0,1,1,null,0,0,0
1601549361324,7,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,502,0
1601549361826,7,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,7,0,0
1601549361834,7,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
1601549361834,7,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,7,0,0
1601549361842,10,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7332,690,1,1,null,0,2,0
1601549361842,7,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,7,0,0
1601549361850,3,гостевая,200,,sendComment 1-1,text,true,,3220,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601549361854,8,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 1",sendComment 1-1,,false,,3546,823,1,1,null,0,0,0
1601549361854,4,комментарий,200,,sendComment 1-1,text,true,,274,526,1,1,http://localhost:8080/service/guestbook?user=Procter&Gamble&text=Отличные%20ребята.,4,0,0
1601549361858,4,комментарий,200,,sendComment 1-1,text,false,Test failed: text expected to contain /<b>Procter&Gamble</b>: 'Отличные ребята.'<br>/,3272,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549361939,1,Debug Sampler,200,OK,sendComment 1-1,text,true,,478,0,1,1,null,0,0,0
1601549361941,10,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,502,0
1601549362443,10,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,10,0,0
1601549362454,7,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
1601549362454,7,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,7,0,0
1601549362462,10,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7384,690,1,1,null,0,2,0
1601549362463,7,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,7,0,0
1601549362471,3,гостевая,200,,sendComment 1-1,text,true,,3272,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601549362474,8,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3634,936,1,1,null,0,1,0
1601549362475,4,комментарий,200,,sendComment 1-1,text,true,,274,639,1,1,http://localhost:8080/service/guestbook?user=Альфа-Банк&text=Благодарю%20за%20отличную%20работу!,3,0,0
1601549362479,4,комментарий,200,,sendComment 1-1,text,true,,3360,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549362484,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,478,0,1,1,null,0,0,0
1601549362486,10,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,502,0
1601549362988,10,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,10,0,0
1601549362999,7,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
1601549362999,7,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,7,0,0
1601549363007,10,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7472,690,1,1,null,0,2,0
1601549363008,7,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,7,0,0
1601549363016,3,гостевая,200,,sendComment 1-1,text,true,,3360,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601549363020,18,комментарий,500,"Number of samples in transaction : 2, number of failing samples : 2",sendComment 1-1,,false,,4487,977,1,1,null,0,1,1
1601549363020,13,комментарий,500,,sendComment 1-1,text,false,Test failed: text expected to contain /OK/,1127,680,1,1,http://localhost:8080/service/guestbook?user=Центральный%20банк%20Российской%20Федерации&text=Спасибо!,13,0,0
1601549363034,5,комментарий,200,,sendComment 1-1,text,false,Test failed: text expected to contain /<b>Центральный банк Российской Федерации</b>: 'Спасибо!'<br>/,3360,297,1,1,http://localhost:8080/service/guestbook,5,0,1
1601549363042,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,539,0,1,1,null,0,0,0
1601549363044,15,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,1,0
1601549363044,15,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,15,0,0
1601549363060,10,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,0,0
1601549363060,10,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,9,0,0
1601549363070,11,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7472,690,1,1,null,0,1,0
1601549363071,7,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,7,0,0
1601549363078,4,гостевая,200,,sendComment 1-1,text,true,,3360,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549363082,6,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3741,995,1,1,null,0,3,0
1601549363083,3,комментарий,200,,sendComment 1-1,text,true,,274,698,1,1,"http://localhost:8080/service/guestbook?user=Эльдорадо&text=Рекомендую,%20это%20лучшая%20компания%20на%20свете",3,0,0
1601549363087,3,комментарий,200,,sendComment 1-1,text,true,,3467,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601549363091,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,486,0,1,1,null,0,0,0
1601549363093,11,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,501,0
1601549363594,11,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,10,0,0
1601549363606,7,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
1601549363606,7,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,7,0,0
1601549363614,12,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7579,690,1,1,null,0,2,0
1601549363615,8,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,8,0,0
1601549363624,4,гостевая,200,,sendComment 1-1,text,true,,3467,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549363629,7,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3828,935,1,1,null,0,1,0
1601549363629,3,комментарий,200,,sendComment 1-1,text,true,,274,638,1,1,http://localhost:8080/service/guestbook?user=Филип%20Морис%20Интернэшнл&text=Отличные%20ребята.,3,0,0
1601549363633,4,комментарий,200,,sendComment 1-1,text,true,,3554,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549363638,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,502,0,1,1,null,0,0,0
1601549363640,9,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,501,0
1601549364141,9,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,8,0,0
1601549364150,7,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
1601549364151,7,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,7,0,0
1601549364159,10,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7666,690,1,1,null,0,2,0
1601549364159,7,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,7,0,0
1601549364167,3,гостевая,200,,sendComment 1-1,text,true,,3554,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601549364171,8,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3927,971,1,1,null,0,1,0
1601549364171,4,комментарий,200,,sendComment 1-1,text,true,,274,674,1,1,http://localhost:8080/service/guestbook?user=ТрансКредитБанк&text=Благодарю%20за%20отличную%20работу!,4,0,0
1601549364176,4,комментарий,200,,sendComment 1-1,text,true,,3653,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601549364180,1,Debug Sampler,200,OK,sendComment 1-1,text,true,,494,0,1,1,null,0,0,0
1601549364183,7,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,502,0
1601549364685,7,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,7,0,0
1601549364693,10,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,0,0
1601549364693,10,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,10,0,0
1601549364703,12,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7765,690,1,1,null,0,3,0
1601549364704,9,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,9,0,0
1601549364714,3,гостевая,200,,sendComment 1-1,text,true,,3653,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601549364718,10,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3987,854,1,1,null,0,0,0
1601549364718,5,комментарий,200,,sendComment 1-1,text,true,,274,557,1,1,http://localhost:8080/service/guestbook?user=ТрансКредитБанк&text=Спасибо!,5,0,0
1601549364723,5,комментарий,200,,sendComment 1-1,text,true,,3713,297,1,1,http://localhost:8080/service/guestbook,5,0,0
1601549364729,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,473,0,1,1,null,0,0,0
1601549364731,9,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,502,0
1601549365232,9,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,9,0,0
1601549365242,10,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
1601549365243,10,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,10,0,0
1601549365253,10,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7825,690,1,1,null,0,2,0
1601549365254,7,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,7,0,0
1601549365262,3,гостевая,200,,sendComment 1-1,text,true,,3713,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601549365266,8,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4126,1091,1,1,null,0,0,0
1601549365266,4,комментарий,200,,sendComment 1-1,text,true,,274,794,1,1,"http://localhost:8080/service/guestbook?user=Хоум%20Кредит%20энд%20Финанс%20Банк&text=Рекомендую,%20это%20лучшая%20компания%20на%20свете",4,0,0
1601549365270,4,комментарий,200,,sendComment 1-1,text,true,,3852,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549365275,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,541,0,1,1,null,0,0,0
1601549365277,9,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,501,0
1601549365778,9,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,8,0,0
1601549365787,8,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,2,0
1601549365788,8,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,8,0,0
1601549365797,11,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7964,690,1,1,null,0,1,0
1601549365797,7,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,7,0,0
1601549365805,4,гостевая,200,,sendComment 1-1,text,true,,3852,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549365809,7,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4201,899,1,1,null,0,2,0
1601549365809,4,комментарий,200,,sendComment 1-1,text,true,,274,602,1,1,http://localhost:8080/service/guestbook?user=ТрансКредитБанк&text=Отличные%20ребята.,4,0,0
1601549365814,3,комментарий,200,,sendComment 1-1,text,true,,3927,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601549365818,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,481,0,1,1,null,0,0,0
1601549365820,10,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,501,0
1601549366321,10,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,9,0,0
1601549366332,7,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
1601549366332,7,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,7,0,0
1601549366340,12,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,8039,690,1,1,null,0,1,0
1601549366340,8,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,8,0,0
1601549366349,4,гостевая,200,,sendComment 1-1,text,true,,3927,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549366353,8,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4280,911,1,1,null,0,1,0
1601549366354,4,комментарий,200,,sendComment 1-1,text,true,,274,614,1,1,http://localhost:8080/service/guestbook?user=ИБРАЭ&text=Благодарю%20за%20отличную%20работу!,4,0,0
1601549366358,4,комментарий,200,,sendComment 1-1,text,true,,4006,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549366363,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,464,0,1,1,null,0,0,0
1601549366366,9,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,501,0
1601549366867,9,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,8,0,0
